ID	TaxID	Genus	Species	nonitalic1	nonitalic2	subsp	Assembly	Family
Dissoconium_aciculare_CBS_342.82	1314786	Dissoconium	aciculare	'CBS'	'342.82'	''	GCF_010015565.1	Dissoconiaceae
Dothidotthia_symphoricarpi_CBS_119687	1392245	Dothidotthia	symphoricarpi	'CBS'	'119687'	''	GCF_010015815.1	Dothidotthiaceae
Emarellia_grisea	1805848	Emarellia	grisea	''	''	''	GCA_049307695.1	Trematosphaeriaceae
Epicoccum_latusicollum	2021037	Epicoccum	latusicollum	''	''	''	GCA_015266435.1	Didymellaceae
Epicoccum_nigrum	105696	Epicoccum	nigrum	''	''	''	GCA_002116315.1	Didymellaceae
Epicoccum_sorghinum	749593	Epicoccum	sorghinum	''	''	''	GCA_040893085.1	Didymellaceae
Eremomyces_bilateralis_CBS_781.70	1392243	Eremomyces	bilateralis	'CBS'	'781.7'	''	GCF_010015585.1	NA
Fulvia_fulva	5499	Fulvia	fulva	''	''	''	GCF_020509005.1	Mycosphaerellaceae
Gemmamyces_piceae	1770616	Gemmamyces	piceae	''	''	''	GCA_041146655.1	Melanommataceae
Helminthosporium_solani	58128	Helminthosporium	solani	''	''	''	GCA_022560085.1	Massarinaceae
Karstenula_rhodostoma_CBS_690.94	1392251	Karstenula	rhodostoma	'CBS'	'690.94'	''	GCA_010093485.1	Didymosphaeriaceae
Lasiodiplodia_theobromae	45133	Lasiodiplodia	theobromae	''	''	''	GCF_012971845.1	NA
Lentithecium_fluviatile_CBS_122367	1168545	Lentithecium	fluviatile	'CBS'	'122367'	''	GCA_010405425.1	Lentitheciaceae
Leptosphaerulina_australis	318710	Leptosphaerulina	australis	''	''	''	GCA_026120165.1	Didymellaceae
Lindgomyces_ingoldianus	673940	Lindgomyces	ingoldianus	''	''	''	GCF_010093535.1	Lindgomycetaceae
Lojkania_enalia	147567	Lojkania	enalia	''	''	''	GCA_010094045.1	NA
Lophiostoma_macrostomum_CBS_122681	1314788	Lophiostoma	macrostomum	'CBS'	'122681'	''	GCA_010405375.1	Lophiostomataceae
Lophiotrema_nucula	690887	Lophiotrema	nucula	''	''	''	GCA_010015825.1	Lophiostomataceae
Macroventuria_anomochaeta	301207	Macroventuria	anomochaeta	''	''	''	GCF_010093625.1	Didymellaceae
Massarina_eburnea_CBS_473.64	1395130	Massarina	eburnea	'CBS'	'473.64'	''	GCA_010093635.1	Massarinaceae
Massariosphaeria_phaeospora	100035	Massariosphaeria	phaeospora	''	''	''	GCA_011032825.1	NA
Melanomma_pulvis-pyrius_CBS_109.77	1314802	Melanomma	pulvis-pyrius	'CBS'	'109.77'	''	GCA_010093585.1	Melanommataceae
Mycocentrospora_acerina	227734	Mycocentrospora	acerina	''	''	''	GCA_022701365.1	NA
Mytilinidion_resinicola	574789	Mytilinidion	resinicola	''	''	''	GCF_010093595.1	Mytilinidiaceae
Neodothiora_populina	2781224	Neodothiora	populina	''	''	''	GCF_041146345.1	Dothioraceae
Neohortaea_acidophila	245834	Neohortaea	acidophila	''	''	''	GCF_010093505.1	Teratosphaeriaceae
Neoroussoella_solani	1871389	Neoroussoella	solani	''	''	''	GCA_040333135.2	Thyridariaceae
Neostagonosporella_sichuanensis	2496822	Neostagonosporella	sichuanensis	''	''	''	GCA_046127415.1	Phaeosphaeriaceae
Nigrograna_mackinnonii	1489893	Nigrograna	mackinnonii	''	''	''	GCA_001007845.1	Nigrogranaceae
Nothophoma_quercina	749835	Nothophoma	quercina	''	''	''	GCA_021642125.2	Didymellaceae
Ophiobolus_disseminans	1469910	Ophiobolus	disseminans	''	''	''	GCA_010093685.1	Phaeosphaeriaceae
Ophiosphaerella_herpotricha	33175	Ophiosphaerella	herpotricha	''	''	''	GCA_028458525.1	Phaeosphaeriaceae
Ophiosphaerella_korrae	33176	Ophiosphaerella	korrae	''	''	''	GCA_028456385.1	Phaeosphaeriaceae
Ophiosphaerella_narmari	85572	Ophiosphaerella	narmari	''	''	''	GCA_028456235.1	Phaeosphaeriaceae
Paraconiothyrium_brasiliense	300254	Paraconiothyrium	brasiliense	''	''	''	GCA_025388405.1	Didymosphaeriaceae
Paraphaeosphaeria_minitans	565426	Paraphaeosphaeria	minitans	''	''	''	GCA_015832175.1	Didymosphaeriaceae
Paraphaeosphaeria_sporulosa	1460663	Paraphaeosphaeria	sporulosa	''	''	''	GCF_001642045.1	Didymosphaeriaceae
Paraphoma_chrysanthemicola	798071	Paraphoma	chrysanthemicola	''	''	''	GCA_020744225.1	Phaeosphaeriaceae
Parastagonospora_avenae_f._sp._tritici_18332-5	2814595	Parastagonospora	avenae	'f.'	'sp.'	'tritici'	GCA_022559985.1	Phaeosphaeriaceae
Periconia_digitata	1303443	Periconia	digitata	''	''	''	GCA_948474695.1	Periconiaceae
Periconia_macrospinosa	97972	Periconia	macrospinosa	''	''	''	GCA_003073855.1	Periconiaceae
Phoma_herbarum	73001	Phoma	herbarum	''	''	''	GCA_001599375.1	Didymellaceae
Phyllosticta_capitalensis	121624	Phyllosticta	capitalensis	''	''	''	GCF_038381095.1	NA
Phyllosticta_citriasiana	595635	Phyllosticta	citriasiana	''	''	''	GCF_038021145.1	NA
Phyllosticta_citribraziliensis	989973	Phyllosticta	citribraziliensis	''	''	''	GCF_038025025.1	NA
Pleiochaeta_setosa	487630	Pleiochaeta	setosa	''	''	''	GCA_043643515.1	NA
Plenodomus_lindquistii	301713	Plenodomus	lindquistii	''	''	''	GCA_025504975.1	Leptosphaeriaceae
Plenodomus_lingam	5022	Plenodomus	lingam	''	''	''	GCF_022343315.1	Leptosphaeriaceae
Plenodomus_tracheiphilus_IPT5	1408161	Plenodomus	tracheiphilus	'IPT5'	''	''	GCA_010093695.1	Leptosphaeriaceae
Pleoardoris_graminearum	3044270	Pleoardoris	graminearum	''	''	''	GCA_030770415.1	Didymosphaeriaceae
Pleomassaria_siparia_CBS_279.74	1314801	Pleomassaria	siparia	'CBS'	'279.74'	''	GCA_010093715.1	Pleomassariaceae
Polyplosphaeria_fusca	682080	Polyplosphaeria	fusca	''	''	''	GCA_010093805.1	Tetraplosphaeriaceae
Pseudocercospora_fijiensis_CIRAD86	383855	Pseudocercospora	fijiensis	'CIRAD86'	''	''	GCF_000340215.1	Mycosphaerellaceae
Pseudopithomyces_chartarum	1892770	Pseudopithomyces	chartarum	''	''	''	GCA_033220655.1	Didymosphaeriaceae
Pseudopithomyces_maydicus	1921599	Pseudopithomyces	maydicus	''	''	''	GCA_026873275.1	Didymosphaeriaceae
Pseudopyrenochaeta_terrestris	2078565	Pseudopyrenochaeta	terrestris	''	''	''	GCA_022813475.1	Pseudopyrenochaetaceae
Pseudovirgaria_hyperparasitica	470096	Pseudovirgaria	hyperparasitica	''	''	''	GCF_010093815.1	NA
Ramularia_collo-cygni	112498	Ramularia	collo-cygni	''	''	''	GCF_900074925.1	Mycosphaerellaceae
Recurvomyces_mirabilis	574656	Recurvomyces	mirabilis	''	''	''	GCF_035927965.1	Teratosphaeriaceae
Saxophila_tyrrhenica	1690608	Saxophila	tyrrhenica	''	''	''	GCF_035928015.1	Extremaceae
Sclerotiophoma_versabilis	2698418	Sclerotiophoma	versabilis	''	''	''	GCA_012274445.1	Didymellaceae
Septoriella_neoarundinis	2016019	Septoriella	neoarundinis	''	''	''	GCA_022813125.1	Phaeosphaeriaceae
Setomelanomma_holmii	210430	Setomelanomma	holmii	''	''	''	GCA_010015745.1	Phaeosphaeriaceae
Shiraia_bambusicola	224420	Shiraia	bambusicola	''	''	''	GCA_028220655.1	Shiraiaceae
Sphaerulina_musiva_SO2202	692275	Sphaerulina	musiva	'SO2202'	''	''	GCF_000320565.1	Mycosphaerellaceae
Sporormia_fimetaria_CBS_119925	1340428	Sporormia	fimetaria	'CBS'	'119925'	''	GCA_010093795.1	Sporormiaceae
Stagonosporopsis_chrysanthemi	1200837	Stagonosporopsis	chrysanthemi	''	''	''	GCA_022560025.1	Didymellaceae
Stagonosporopsis_cucurbitacearum	749889	Stagonosporopsis	cucurbitacearum	''	''	''	GCA_016920805.1	Didymellaceae
Stagonosporopsis_rhizophila	2802321	Stagonosporopsis	rhizophila	''	''	''	GCA_016767195.1	Didymellaceae
Stagonosporopsis_vannaccii	2606854	Stagonosporopsis	vannaccii	''	''	''	GCA_028584115.1	Didymellaceae
Stemphylium_beticola	1871392	Stemphylium	beticola	''	''	''	GCA_029100535.1	Pleosporaceae
Stemphylium_lycopersici	183478	Stemphylium	lycopersici	''	''	''	GCA_003268315.1	Pleosporaceae
Trematosphaeria_pertusa	390896	Trematosphaeria	pertusa	''	''	''	GCF_010094035.1	Trematosphaeriaceae
Verruconis_gallopava	253628	Verruconis	gallopava	''	''	''	GCF_000836295.1	Sympoventuriaceae
Westerdykella_aurantiaca	1193015	Westerdykella	aurantiaca	''	''	''	GCA_030412805.1	Sporormiaceae
Westerdykella_dispersa	45154	Westerdykella	dispersa	''	''	''	GCA_040333465.2	Sporormiaceae
Westerdykella_ornata	318751	Westerdykella	ornata	''	''	''	GCF_010094085.1	Sporormiaceae
Zasmidium_cellare_ATCC_36951	1080233	Zasmidium	cellare	'ATCC'	'36951'	''	GCF_010093935.1	Mycosphaerellaceae
Zymoseptoria_tritici_IPO323	336722	Zymoseptoria	tritici	'IPO323'	''	''	GCF_000219625.1	Mycosphaerellaceae
Coniothyrium_glycines_LW.SEE.SI	1077358	Coniothyrium	glycines	''	''	''	GCA_050859405.1	Coniothyriaceae
